personRank,movieTitle,director,person,IMDBRating,year,seen
1,All About Eve,Joseph L. Mankiewicz,Kasi Lemmons,8.2,1950,
2,All That Jazz,Bob Fosse,Kasi Lemmons,7.9,1979,
3,Black Orpheus,Marcel Camus,Kasi Lemmons,7.5,1959,
4,Don't Look Now,Nicolas Roeg,Kasi Lemmons,7.3,1973,
5,Do the Right Thing,Spike Lee,Kasi Lemmons,7.9,1989,
6,Fish Tank,Andrea Arnold,Kasi Lemmons,7.3,2009,
7,The Graduate,Mike Nichols,Kasi Lemmons,8,1967,Yes
8,Harold and Maude,Hal Ashby,Kasi Lemmons,7.9,1971,
9,Rosemary's Baby,Roman Polanski,Kasi Lemmons,8,1968,Yes
10,Z,Costa-Gavras,Kasi Lemmons,8.3,1969,
1,Ugetsu,Kenji Mizoguchi,Jack Reynor,8.3,1953,
2,Kwaidan,Masaki Kobayashi,Jack Reynor,8,1964,
3,Empire of Passion,Nagisa Oshima,Jack Reynor,7,1978,
4,Peeping Tom,Michael Powell,Jack Reynor,7.7,1960,
5,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,Jack Reynor,8.4,1964,Yes
6,Cul-de-sac,Roman Polanski,Jack Reynor,7.1,1966,
7,Hour of the Wolf,Ingmar Bergman,Jack Reynor,7.7,1968,
8,Women in Love,Ken Russell,Jack Reynor,7.3,1969,
9,Stalker,Andrei Tarkovsky,Jack Reynor,8.2,1979,
10,The Vanishing,George Sluizer,Jack Reynor,7.7,1988,
1,RoboCop,Paul Verhoeven,Carlos Reygadas,7.5,1987,
2,The Discreet Charm of the Bourgeoisie,Luis Buñuel,Carlos Reygadas,7.9,1972,
3,Mon oncle,Jacques Tati,Carlos Reygadas,7.8,1958,
4,Gertrud,Carl Th. Dreyer,Carlos Reygadas,7.4,1964,
5,À nos amours,Maurice Pialat,Carlos Reygadas,7.3,1983,
6,Army of Shadows,Jean-Pierre Melville,Carlos Reygadas,8.2,1969,
6,Le silence de la mer,Jean-Pierre Melville,Carlos Reygadas,7.6,1949,
7,The Fire Within,Louis Malle,Carlos Reygadas,8,1963,
8,Five Easy Pieces,Bob Rafelson,Carlos Reygadas,7.5,1970,
9,Blow Out,Brian De Palma,Carlos Reygadas,7.4,1981,
10,La vie de Jésus,Bruno Dumont,Carlos Reygadas,7,1997,
10,L'humanité,Bruno Dumont,Carlos Reygadas,6.9,1999,
1,Chronicle of a Summer,Jean Rouch and Edgar Morin,Dennis Lim,7.6,1961,
1,Close-up,Abbas Kiarostami,Dennis Lim,8.3,1990,
2,Love Streams,John Cassavetes,Dennis Lim,7.8,1984,
2,Punch-Drunk Love,Paul Thomas Anderson,Dennis Lim,7.3,2002,
3,A Hollis Frampton Odyssey,Hollis Frampton,Dennis Lim,?,?,
3,News from Home,Chantal Akerman,Dennis Lim,7.5,1977,
4,The Exterminating Angel,Luis Buñuel,Dennis Lim,8.1,1962,
4,La Ciénaga,Lucrecia Martel,Dennis Lim,7.1,2001,
5,Death by Hanging,Nagisa Oshima,Dennis Lim,7.5,1968,
5,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Dennis Lim,8.1,1974,
6,Late Spring,Yasujiro Ozu,Dennis Lim,8.3,1949,
6,Colossal Youth,Pedro Costa,Dennis Lim,7,2006,
7,Bigger Than Life,Nicholas Ray,Dennis Lim,7.6,1956,
7,Blue Velvet,David Lynch,Dennis Lim,7.8,1986,
8,Red Desert,Michelangelo Antonioni,Dennis Lim,7.6,1964,
8,Safe,Todd Haynes,Dennis Lim,7.2,1995,
9,Symbiopsychotaxiplasm,William Greaves,Dennis Lim,7.3,1968,
9,Schizopolis,Steven Soderbergh,Dennis Lim,6.9,1996,
10,Wanda,Barbara Loden,Dennis Lim,7.1,1970,
10,Vagabond,Agnès Varda,Dennis Lim,7.7,1985,
1,Letter Never Sent,Mikhail Kalatozov,Jeremy Workman,7.9,1960,
2,Lola Montès,Max Ophuls,Jeremy Workman,7.3,1955,
3,The Thin Blue Line,Errol Morris,Jeremy Workman,7.5,1995,
4,Blast of Silence,Allen Baron,Jeremy Workman,7.6,1961,
5,The Battle of Algiers,Gillo Pontecorvo,Jeremy Workman,8.1,1966,
6,The Night of the Hunter,Charles Laughton,Jeremy Workman,8,1955,
7,Revanche,Götz Spielmann,Jeremy Workman,7.5,2008,
8,Green for Danger,Sidney Gilliat,Jeremy Workman,7.5,1946,
9,Macbeth,Roman Polanski,Jeremy Workman,7.4,1971,
10,Koyaanisqatsi,Godfrey Reggio,Jeremy Workman,8.3,1982,Yes
1,Repo Man,Alex Cox,Brian Raftery,6.9,1984,
2,The Asphalt Jungle,John Huston,Brian Raftery,7.9,1950,
3,All That Jazz,Bob Fosse,Brian Raftery,7.9,1979,
3,Head,Bob Rafelson,Brian Raftery,6.6,1968,
4,The Third Man,Carol Reed,Brian Raftery,8.1,1949,
5,Smithereens,Susan Seidelman,Brian Raftery,6.8,1982,
6,Do the Right Thing,Spike Lee,Brian Raftery,7.9,1989,
7,The American Friend,Wim Wenders,Brian Raftery,7.4,1977,
8,Election,Alexander Payne,Brian Raftery,7.2,1999,
8,Being John Malkovich,Spike Jonze,Brian Raftery,7.7,1999,
9,Hoop Dreams,Steve James,Brian Raftery,8.3,1994,
10,Mikey and Nicky,Elaine May,Brian Raftery,7.4,1976,
1,Smithereens,Susan Seidelman,Beak>,6.8,1982,
2,Stalker,Andrei Tarkovsky,Beak>,8.2,1979,
3,Videodrome,David Cronenberg,Beak>,7.3,1983,
4,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Beak>,8.1,1982,
5,A Taste of Honey,Tony Richardson,Beak>,7.5,1961,
6,Don't Look Now,Nicolas Roeg,Beak>,7.3,1973,
7,Time Bandits,Terry Gilliam,Beak>,7,1981,
8,Watership Down,Martin Rosen,Beak>,7.6,1978,
9,12 Angry Men,Sidney Lumet,Beak>,8.9,1957,
10,The Long Good Friday,John Mackenzie,Beak>,7.6,1980,
1,A Woman Under the Influence,John Cassavetes,Michael Imperioli,8.2,1974,
2,Opening Night,John Cassavetes,Michael Imperioli,8,1977,
3,The Killing of a Chinese Bookie,John Cassavetes,Michael Imperioli,7.4,1976,
4,The In-Laws,Arthur Hiller,Michael Imperioli,5.7,2003,
5,Fox and His Friends,Rainer Werner Fassbinder,Michael Imperioli,7.7,1975,
6,Mamma Roma,Pier Paolo Pasolini,Michael Imperioli,7.8,1962,
7,Do the Right Thing,Spike Lee,Michael Imperioli,7.9,1989,
8,Midnight Cowboy,John Schlesinger,Michael Imperioli,7.8,1969,
9,Brazil,Terry Gilliam,Michael Imperioli,7.9,1985,
10,Rififi,Jules Dassin,Michael Imperioli,8.2,1955,
1,Blood for Dracula,Paul Morrissey,Lev Kalman,6.2,1974,
2,Female Trouble,John Waters,Lev Kalman,7.3,1974,
3,The Killing of a Chinese Bookie,John Cassavetes,Lev Kalman,7.4,1976,
4,Island of Lost Souls,Erle C. Kenton,Lev Kalman,7.4,1932,
5,Unfaithfully Yours,Preston Sturges,Lev Kalman,7.6,1948,
6,Science Is Fiction: 23 Films by Jean Painlevé,Jean Painlevé,Lev Kalman,8,2007,
7,The American Friend,Wim Wenders,Lev Kalman,7.4,1977,
8,Twin Peaks: Fire Walk with Me,David Lynch,Lev Kalman,7.3,1992,
9,Barcelona,Whit Stillman,Lev Kalman,7,1994,
10,Suzanne's Career,Eric Rohmer,Lev Kalman,7.1,1963,
1,Contempt,Jean-Luc Godard,Christophe Honoré,7.6,1963,
2,The Magnificent Ambersons,Orson Welles,Christophe Honoré,7.7,1942,
3,Chungking Express,Wong Kar-wai,Christophe Honoré,8.1,1994,
4,Lola,Jacques Demy,Christophe Honoré,7.6,1961,
5,Jules and Jim,François Truffaut,Christophe Honoré,7.8,1962,
6,"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,Christophe Honoré,5.9,1975,
7,The Awful Truth,Leo McCarey,Christophe Honoré,7.7,1937,
8,My Own Private Idaho,Gus Van Sant,Christophe Honoré,7.1,1991,
9,Mystery Train,Jim Jarmusch,Christophe Honoré,7.6,1989,
10,Yi Yi,Edward Yang,Christophe Honoré,8.1,2000,
1,A Woman Under the Influence,John Cassavetes,Ra√∫l Castillo,8.2,1974,
